# Users,Ramp,Machine,Duration,Total requests,Success requests,Success percent
100,10,container,139,17687.0,17643.0,99.75122971674111
100,10,container,148,16327.0,16251.0,99.53451338274024
100,10,container,141,17166.0,17087.0,99.53978795293021
100,10,container,141,17287.0,17228.0,99.65870307167235
100,10,container,139,16843.0,16773.0,99.58439707890518
100,10,container,144,16278.0,16170.0,99.33652782897161
100,10,container,142,17152.0,17070.0,99.52192164179104
100,10,container,140,16847.0,16760.0,99.48358758235888
100,10,container,146,17386.0,17332.0,99.68940526860692
100,10,container,143,17479.0,17416.0,99.63956748097718
100,10,container,148,16508.0,16404.0,99.3700024230676
100,10,container,139,17487.0,17450.0,99.78841425058614
100,10,container,140,16847.0,16753.0,99.44203715795096
100,10,container,151,17175.0,17107.0,99.60407569141194
100,10,container,144,16862.0,16799.0,99.62637883999525
100,10,container,145,16619.0,16501.0,99.28996931223298
100,10,container,146,16740.0,16673.0,99.59976105137396
100,10,container,142,17485.0,17432.0,99.69688304260795
100,10,container,138,16940.0,16845.0,99.4391971664699
100,10,container,144,16833.0,16724.0,99.35246242499852
100,10,container,144,16619.0,16537.0,99.50658884409411
100,10,container,145,17148.0,17073.0,99.56263121063681
100,10,container,144,16617.0,16545.0,99.56670879220076
100,10,container,145,17533.0,17502.0,99.82319055495351
100,10,container,143,17481.0,17438.0,99.75401864881871
100,10,container,143,17265.0,17197.0,99.6061395887634
100,10,container,139,16956.0,16893.0,99.62845010615712
100,10,container,142,16510.0,16398.0,99.32162325863113
100,10,container,146,17061.0,16988.0,99.57212355664967
100,10,container,139,16415.0,16318.0,99.40907706366129
100,10,vm,121,15896.0,15831.0,99.59109209864117
100,10,vm,123,16530.0,16474.0,99.66122202056866
100,10,vm,117,17919.0,17886.0,99.8158379373849
100,10,vm,118,17499.0,17443.0,99.67998171324075
100,10,vm,118,18036.0,18027.0,99.9500998003992
100,10,vm,118,17479.0,17436.0,99.75399050288918
100,10,vm,117,17784.0,17729.0,99.69073324336482
100,10,vm,121,17150.0,17075.0,99.56268221574344
100,10,vm,124,16096.0,15961.0,99.16128230616302
100,10,vm,125,17360.0,17315.0,99.74078341013825
100,10,vm,118,17384.0,17342.0,99.7583985273815
100,10,vm,101,18014.0,18010.0,99.97779504829577
100,10,vm,124,16524.0,16459.0,99.60663277656742
100,10,vm,119,17905.0,17900.0,99.97207483943032
100,10,vm,126,17711.0,17706.0,99.97176895714527
100,10,vm,107,18020.0,18016.0,99.97780244173141
100,10,vm,116,18024.0,18022.0,99.98890368397691
100,10,vm,128,16409.0,16290.0,99.27478822597355
100,10,vm,118,17812.0,17807.0,99.97192903660454
100,10,vm,130,15991.0,15919.0,99.54974673253705
100,10,vm,127,17396.0,17376.0,99.88503104161876
100,10,vm,137,15773.0,15708.0,99.58790337919228
100,10,vm,118,17919.0,17916.0,99.98325799430772
